prime,sub,amount,
"ITA INTERNATIONAL, LLC",ABSG CONSULTING INC.,760908,
"I.E.-PACIFIC, INC.",SELECT TECH INC.,30200,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.","Coffman Engineers, Inc.",40460,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"I.E.-PACIFIC, INC.","Aerotek, Inc.",270000,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"I.E.-PACIFIC, INC.","COFFMAN ENGINEERS, INC.",40460,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.","Aerotek, Inc.",270000,
"I.E.-PACIFIC, INC.",SELECT TECH INC.,30200,
"I.E.-PACIFIC, INC.","Aerotek, Inc.",270000,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"I.E.-PACIFIC, INC.","BTS EQUIPMENT UNLIMITED, INC.",116242,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.","Aerotek, Inc.",270000,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"I.E.-PACIFIC, INC.","Aerotek, Inc.",270000,
"I.E.-PACIFIC, INC.","BTS EQUIPMENT UNLIMITED, INC.",116242,
"I.E.-PACIFIC, INC.","Aerotek, Inc.",270000,
"I.E.-PACIFIC, INC.","BTS EQUIPMENT UNLIMITED, INC.",116242,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"I.E.-PACIFIC, INC.","Coffman Engineers, Inc.",40460,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.","BTS EQUIPMENT UNLIMITED, INC.",116242,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.",SELECT TECH INC.,30200,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"I.E.-PACIFIC, INC.","Aerotek, Inc.",270000,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.",SELECT TECH INC.,30200,
"I.E.-PACIFIC, INC.","BTS EQUIPMENT UNLIMITED, INC.",116242,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.",SELECT TECH INC.,30200,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.","Aerotek, Inc.",270000,
"I.E.-PACIFIC, INC.","Coffman Engineers, Inc.",40460,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.","BTS EQUIPMENT UNLIMITED, INC.",116242,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.","COFFMAN ENGINEERS, INC.",40460,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.","BTS EQUIPMENT UNLIMITED, INC.",116242,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.",SELECT TECH INC.,30200,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"I.E.-PACIFIC, INC.","Aerotek, Inc.",270000,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.",SELECT TECH INC.,30200,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"I.E.-PACIFIC, INC.","Aerotek, Inc.",270000,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"I.E.-PACIFIC, INC.","Coffman Engineers, Inc.",40460,
"I.E.-PACIFIC, INC.","Coffman Engineers, Inc.",40460,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.","Aerotek, Inc.",270000,
"I.E.-PACIFIC, INC.","BTS EQUIPMENT UNLIMITED, INC.",116242,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.","Coffman Engineers, Inc.",40460,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.","Aerotek, Inc.",270000,
"I.E.-PACIFIC, INC.","BTS EQUIPMENT UNLIMITED, INC.",116242,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.","COFFMAN ENGINEERS, INC.",40460,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"CHUGACH FEDERAL SOLUTIONS, INC.","CHINOOK PROPERTIES, INC.",140371,
PROGENY SYSTEMS CORPORATION,"QUALITY SUPPORT, INC.",39951,
BAYFIRST SOLUTIONS LLC,"BMT DESIGNERS & PLANNERS, INC.",5500,
"ADVANCED PROJECT CONSULTING, LLC",INTUITIVE RESEARCH AND TECHNOLOGY CORPORATION,142261,
"ADVANCED PROJECT CONSULTING, LLC",INTUITIVE RESEARCH AND TECHNOLOGY CORPORATION,146331,
"EXCET, INC.","VISION POINT SYSTEMS, INC.",50000,
"EXCET, INC.","TIDAL CORROSION SERVICES, LLC",2924000,
"EXCET, INC.","VISION POINT SYSTEMS, INC.",127500,
"EXCET, INC.","TIDAL CORROSION SERVICES, LLC",3297000,
"EXCET, INC.","TIDAL CORROSION SERVICES, LLC",540000,
"WESTON SOLUTIONS, INC.","THOMAS INDUSTRIAL COATINGS, INC.",216703,
"WESTON SOLUTIONS, INC.","THOMAS INDUSTRIAL COATINGS, INC.",216703,
"BURNS & MCDONNELL ENGINEERING COMPANY, INC.","MOCA SYSTEMS, INC.",130469,
"MCKEAN DEFENSE GROUP, LLC",ELZLY TECHNOLOGY CORPORATION,688812,
VIGOR MARINE LLC,EDC ENGINEERING LIMITED LIABILITY CO.,275070,
LUNA INNOVATIONS INCORPORATED,UNIVERSITY OF VIRGINIA DARDEN SCHOOL FOUNDATION INC,238200,
LUNA INNOVATIONS INCORPORATED,THE BOEING COMPANY,100000,
UNIVERSITY OF DAYTON,"PPG INDUSTRIES, INC.",6195068,
UNIVERSITY OF DAYTON,"CORPORATION OF MERCER UNIVERSITY, THE",317287,
UNIVERSITY OF DAYTON,LUNA INNOVATIONS INCORPORATED,80797,
ALUTIIQ COMMERCIAL ENTERPRISES LLC,"CHEM-AQUA, INC.",1056141,
ALUTIIQ COMMERCIAL ENTERPRISES LLC,"CHEM-AQUA, INC.",971322,
ALUTIIQ COMMERCIAL ENTERPRISES LLC,"CHEM-AQUA, INC.",1056141,
ALUTIIQ COMMERCIAL ENTERPRISES LLC,"CHEM-AQUA, INC.",1056141,
ALUTIIQ COMMERCIAL ENTERPRISES LLC,"CHEM-AQUA, INC.",1056141,
ALUTIIQ COMMERCIAL ENTERPRISES LLC,"CHEM-AQUA, INC.",1056141,
BATTELLE MEMORIAL INSTITUTE,"VISION POINT SYSTEMS, INC.",512159,
BATTELLE MEMORIAL INSTITUTE,"VISION POINT SYSTEMS, INC.",1047237,
BATTELLE MEMORIAL INSTITUTE,COATING SPECIALISTS AND INSPECTION SERVICES,36588,
BATTELLE MEMORIAL INSTITUTE,FIELD DATA TECHNOLOGY LLC,398640,
BATTELLE MEMORIAL INSTITUTE,FIELD DATA TECHNOLOGY LLC,85325,
BATTELLE MEMORIAL INSTITUTE,MILSPRAY LLC,1023568,
BATTELLE MEMORIAL INSTITUTE,"LOGIS-TECH, INC.",94736,
JACOBS TECHNOLOGY INC.,"MET-CON, INC.",124521,
JACOBS TECHNOLOGY INC.,"MET-CON, INC.",60000,
JACOBS TECHNOLOGY INC.,"MET-CON, INC.",39142,
JACOBS TECHNOLOGY INC.,"MET-CON, INC.",115823,
JACOBS TECHNOLOGY INC.,"MET-CON, INC.",79881,
JACOBS TECHNOLOGY INC.,"MET-CON, INC.",99032,
JACOBS TECHNOLOGY INC.,MARINE SPECIALTY PAINTING,228438,
JACOBS TECHNOLOGY INC.,"MET-CON, INC.",2654683,
PARSONS GOVERNMENT SERVICES INC.,"CRAWFORD CONSULTING SERVICES, INC",72920,
"I.E.-PACIFIC, INC.","Coffman Engineers, Inc.",40460,
"I.E.-PACIFIC, INC.","Coffman Engineers, Inc.",40460,
"I.E.-PACIFIC, INC.","Coffman Engineers, Inc.",40460,
"I.E.-PACIFIC, INC.","Coffman Engineers, Inc.",40460,
"I.E.-PACIFIC, INC.","COFFMAN ENGINEERS, INC.",40460,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.","Aerotek, Inc.",270000,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.","Aerotek, Inc.",270000,
"I.E.-PACIFIC, INC.",SELECT TECH INC.,30200,
"I.E.-PACIFIC, INC.","Coffman Engineers, Inc.",40460,
"I.E.-PACIFIC, INC.","BTS EQUIPMENT UNLIMITED, INC.",116242,
"I.E.-PACIFIC, INC.","BTS EQUIPMENT UNLIMITED, INC.",116242,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.","Aerotek, Inc.",270000,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.","Coffman Engineers, Inc.",40460,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.","BTS EQUIPMENT UNLIMITED, INC.",116242,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"I.E.-PACIFIC, INC.","COFFMAN ENGINEERS, INC.",40460,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.","BTS EQUIPMENT UNLIMITED, INC.",116242,
"I.E.-PACIFIC, INC.","BTS EQUIPMENT UNLIMITED, INC.",116242,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.","Aerotek, Inc.",270000,
"I.E.-PACIFIC, INC.","Aerotek, Inc.",270000,
"I.E.-PACIFIC, INC.","Coffman Engineers, Inc.",40460,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.","BTS EQUIPMENT UNLIMITED, INC.",116242,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.","Aerotek, Inc.",270000,
"I.E.-PACIFIC, INC.","Coffman Engineers, Inc.",40460,
"I.E.-PACIFIC, INC.","Coffman Engineers, Inc.",40460,
"I.E.-PACIFIC, INC.","Aerotek, Inc.",270000,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.","BTS EQUIPMENT UNLIMITED, INC.",116242,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.","BTS EQUIPMENT UNLIMITED, INC.",116242,
"I.E.-PACIFIC, INC.",SELECT TECH INC.,30200,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"I.E.-PACIFIC, INC.","Aerotek, Inc.",270000,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.",SELECT TECH INC.,30200,
"I.E.-PACIFIC, INC.","Aerotek, Inc.",270000,
"I.E.-PACIFIC, INC.","Coffman Engineers, Inc.",40460,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"AECOM MANAGEMENT SERVICES, INC.","PRECISION FABRICATING & CLEANING COMPANY, INC.",142125,
"I.E.-PACIFIC, INC.",SELECT TECH INC.,30200,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.","Coffman Engineers, Inc.",40460,
"I.E.-PACIFIC, INC.","BTS EQUIPMENT UNLIMITED, INC.",116242,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.",SELECT TECH INC.,30200,
"I.E.-PACIFIC, INC.","Coffman Engineers, Inc.",40460,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"I.E.-PACIFIC, INC.","Aerotek, Inc.",270000,
"I.E.-PACIFIC, INC.","Aerotek, Inc.",270000,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"I.E.-PACIFIC, INC.",SELECT TECH INC.,30200,
"I.E.-PACIFIC, INC.","Aerotek, Inc.",270000,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.","Aerotek, Inc.",270000,
"I.E.-PACIFIC, INC.","COFFMAN ENGINEERS, INC.",40460,
"I.E.-PACIFIC, INC.","Aerotek, Inc.",270000,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.","Coffman Engineers, Inc.",40460,
"I.E.-PACIFIC, INC.","Aerotek, Inc.",270000,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"I.E.-PACIFIC, INC.","Coffman Engineers, Inc.",40460,
"I.E.-PACIFIC, INC.","BTS EQUIPMENT UNLIMITED, INC.",116242,
"I.E.-PACIFIC, INC.",SELECT TECH INC.,30200,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.","BTS EQUIPMENT UNLIMITED, INC.",116242,
"I.E.-PACIFIC, INC.","Coffman Engineers, Inc.",40460,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.","BTS EQUIPMENT UNLIMITED, INC.",116242,
"I.E.-PACIFIC, INC.",SELECT TECH INC.,30200,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.","BTS EQUIPMENT UNLIMITED, INC.",116242,
"I.E.-PACIFIC, INC.","Aerotek, Inc.",270000,
"I.E.-PACIFIC, INC.","LAWLEY, DON COMPANY INC, THE",96950,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.","VANDEN BOS ELECTRIC, INC.",988770,
"I.E.-PACIFIC, INC.","BTS EQUIPMENT UNLIMITED, INC.",116242,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.","SERVICON SYSTEMS, INC.",430700,
"I.E.-PACIFIC, INC.",NIBBELINK MASONRY CONSTRUCTION CORPORATION,382789,
"I.E.-PACIFIC, INC.","BTS EQUIPMENT UNLIMITED, INC.",116242,
INTERSTATE ELECTRONICS CORPORATION,"PRECISION FABRICATING & CLEANING COMPANY, INC.",55321,
M. A. MORTENSON COMPANY,SOUTHERN CATHODIC PROTECTION COMPANY,358242,
"UNITED STATES AUTOMOTIVE MATERIALS PARTNERSHIP, LLC","PPG INDUSTRIES, INC.",999990,
UNIVERSITY OF MAINE SYSTEM,WESTERN NEW ENGLAND UNIVERSITY,365000,
"UNITED STATES AUTOMOTIVE MATERIALS PARTNERSHIP, LLC",Henkel Corporation,43271,
"UNITED STATES AUTOMOTIVE MATERIALS PARTNERSHIP, LLC",XTALIC CORPORATION,642888,
"UNITED STATES AUTOMOTIVE MATERIALS PARTNERSHIP, LLC",APPLIED ENGINEERING & TECHNOLOGY INTEGRATION INC.,296470,
NEW MEXICO FINANCE AUTHORITY,"HATCH, VILLAGE OF INC",780727,
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",UNIVERSITY OF SOUTHERN QUEENSLAND,245400,
BATTELLE MEMORIAL INSTITUTE,"WATERFORD CONSULTANTS, LLC",72135,
ADVANCED TECHNOLOGY INTERNATIONAL,HONEYWELL INTERNATIONAL INC.,605129,
"UNIVERSITY OF SOUTHERN MISSISSIPPI, THE","UNIVERSITY OF CALIFORNIA, SAN DIEGO",300000,
"FLORIDA, STATE OF","FLORIDA KEYS ELECTRIC COOPERATIVE ASSOCIATION, INC.",7518242,
"FLORIDA, STATE OF","FLORIDA KEYS ELECTRIC COOPERATIVE ASSOCIATION, INC.",7518242,
WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION,"GE STEAM POWER, INC.",50077,
MICHIGAN STATE UNIVERSITY,"FRAUNHOFER USA, INC.",377415,
"WASHINGTON UNIVERSITY, THE",UNIVERSITY OF NEW MEXICO,1,
UNIVERSITY OF ILLINOIS,VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,255000,
"WASHINGTON UNIVERSITY, THE",UNIVERSITY OF NEW MEXICO,250000,
MICHIGAN STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,120000,
"NATIONAL CENTER FOR MANUFACTURING SCIENCES, INC.","PPG INDUSTRIES, INC.",222315,
UNIVERSITY OF WISCONSIN SYSTEM,CREARE LLC,29976,
"REGENTS OF THE UNIVERSITY OF COLORADO, THE","TRUSTEES OF PRINCETON UNIVERSITY, THE",273742,
UNIVERSITY OF WISCONSIN SYSTEM,"ELECTRIC POWER RESEARCH INSTITUTE, INC.",25000,
NATIONAL CENTER FOR DEFENSE MANUFACTURING AND MACHINING,NORTHROP GRUMMAN SYSTEMS CORPORATION,442959,
FLORIDA INTERNATIONAL UNIVERSITY,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,70174,
UNIVERSITY OF HOUSTON SYSTEM,WILLIAM MARSH RICE UNIVERSITY,66292,
SPORIAN MICROSYSTEMS INC,"UCHICAGO ARGONNE, LLC",35000,
UNIVERSITY OF MAINE SYSTEM,UNIVERSITY OF MASSACHUSETTS,800817,
"WASHINGTON UNIVERSITY, THE","NISSAN NORTH AMERICA, INC.",164628,
UNIVERSITY OF NEW MEXICO,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,122095,
"UNIVERSITY OF NEW MEXICO, THE",HIGH TEMPERATURE SYSTEM DESIGNS LLC,20000,
REGENTS OF THE UNIVERSITY OF MICHIGAN,UNIVERSITY OF WISCONSIN SYSTEM,106675,
TRUSTEES OF THE COLORADO SCHOOL OF MINES,NORTH CAROLINA STATE UNIVERSITY,302290,
